qs_2005_rank,qs_institution_name,qs_country,openalex_name,openalex_id,is_manual_mapping,matched
83,University of Durham,UK,Durham University,https://openalex.org/I190082696,TRUE,TRUE
84,Indian Institutes Management,India,,,,FALSE
85,University of Zurich,Switzerland,University of Zurich,https://openalex.org/I202697423,FALSE,TRUE
86,Vienna University of Technology,Austria,,,,FALSE
87,University of Technology Sydney,Australia,University of Technology Sydney,https://openalex.org/I114017466,FALSE,TRUE
88,Catholic University of Louvain,Belgium,UCLouvain,https://openalex.org/I95674353,FALSE,TRUE
88,University of Geneva,Switzerland,University of Geneva,https://openalex.org/I114457229,FALSE,TRUE
88,University Pierre et Marie Curie (Paris VI),France,,,,FALSE
88,University of Washington,USA,University of Washington,https://openalex.org/I201448701,FALSE,TRUE
92,Ecole Normale Sup�rieure de Lyon,France,,,,FALSE
93,University of Science and Technology of China,China,University of Science and Technology of China,https://openalex.org/I126520041,FALSE,TRUE
93,Seoul National University,South Korea,Seoul National University,https://openalex.org/I139264467,FALSE,TRUE
95,Catholic University of Leuven,Belgium,KU Leuven,https://openalex.org/I99464096,TRUE,TRUE
95,National Autonomous University of Mexico,Mexico,Universidad Nacional Autónoma de México,https://openalex.org/I8961855,FALSE,TRUE
97,University of Nottingham,UK,University of Nottingham,https://openalex.org/I142263535,FALSE,TRUE
98,La Trobe University,Australia,La Trobe University,https://openalex.org/I196829312,FALSE,TRUE
99,Tokyo Institute of Technology,Japan,Tokyo Institute of Technology,https://openalex.org/I114531698,FALSE,TRUE
100,University of Sussex,UK,University of Sussex,https://openalex.org/I162608824,FALSE,TRUE
101,Curtin University,Australia,Curtin University,https://openalex.org/I205640436,FALSE,TRUE
101,University of Glasgow,UK,University of Glasgow,https://openalex.org/I7882870,FALSE,TRUE
103,School of Oriental and African Studies - University of London,UK,,,,FALSE
103,University of Leeds,UK,University of Leeds,https://openalex.org/I130828816,FALSE,TRUE
105,Technical University of M�nchen,Germany,Technical University of Munich,https://openalex.org/I62916508,TRUE,TRUE
105,Osaka University,Japan,The University of Osaka,https://openalex.org/I98285908,TRUE,TRUE
105,University of Virginia,USA,University of Virginia,https://openalex.org/I51556381,FALSE,TRUE
108,Wageningen University & Research Center,Netherlands,Wageningen University & Research,https://openalex.org/I913481162,TRUE,TRUE
109,University of York,UK,University of York,https://openalex.org/I52099693,FALSE,TRUE
109,Case Western Reserve University,USA,Case Western Reserve University,https://openalex.org/I58956616,FALSE,TRUE
111,Trinity College Dublin,Ireland,Trinity College Dublin,https://openalex.org/I205274468,FALSE,TRUE
112,Humboldt University of Berlin,Germany,Humboldt-Universität zu Berlin,https://openalex.org/I39343248,TRUE,TRUE
112,Queen Mary - University of London,UK,Queen Mary University of London,https://openalex.org/I166337079,FALSE,TRUE
114,University of G�ttingen,Germany,University of Göttingen,https://openalex.org/I74656192,TRUE,TRUE
114,National Taiwan University,Taiwan,National Taiwan University,https://openalex.org/I16733864,FALSE,TRUE
114,Vanderbilt University,USA,Vanderbilt University,https://openalex.org/I200719446,FALSE,TRUE
117,Dartmouth College,USA,Dartmouth College,https://openalex.org/I107672454,FALSE,TRUE
118,Queensland University of Technology,Australia,Queensland University of Technology,https://openalex.org/I160993911,FALSE,TRUE
119,University of Liverpool,UK,University of Liverpool,https://openalex.org/I146655781,FALSE,TRUE
120,Utrecht University,Netherlands,Utrecht University,https://openalex.org/I193662353,FALSE,TRUE
121,University Panth�on-Sorbonne (Paris I),France,,,,FALSE
121,Chulalongkorn University,Thailand,Chulalongkorn University,https://openalex.org/I158708052,FALSE,TRUE
121,Michigan State University,USA,Michigan State University,https://openalex.org/I87216513,FALSE,TRUE
124,University of Southern California,USA,University of Southern California,https://openalex.org/I1174212,FALSE,TRUE
125,University of Rome - La Sapienza,Italy,Sapienza University of Rome,https://openalex.org/I861853513,TRUE,TRUE
125,Texas A&M University,USA,Texas A&M University,https://openalex.org/I91045830,FALSE,TRUE
127,University of Newcastle - Australia,Australia,University of Newcastle Australia,https://openalex.org/I78757542,FALSE,TRUE
127,University of Basel,Switzerland,University of Basel,https://openalex.org/I1850255,FALSE,TRUE
129,Nagoya University,Japan,Nagoya University,https://openalex.org/I60134161,FALSE,TRUE
130,University of Bath,UK,University of Bath,https://openalex.org/I51601045,FALSE,TRUE
131,University of Strasbourg,France,Université de Strasbourg,https://openalex.org/I68947357,FALSE,TRUE
132,University of Montreal,Canada,Université de Montréal,https://openalex.org/I70931966,FALSE,TRUE
133,University of Lausanne,Switzerland,University of Lausanne,https://openalex.org/I97565354,FALSE,TRUE
133,University of Maryland (System),USA,"University of Maryland, Baltimore",https://openalex.org/I126744593,TRUE,TRUE
133,HEC Paris,France,,,,FALSE
136,Tohoku University,Japan,Tohoku University,https://openalex.org/I201537933,FALSE,TRUE
136,University of St. Andrews,UK,University of St Andrews,https://openalex.org/I16835326,FALSE,TRUE
138,Aarhus University,Denmark,Aarhus University,https://openalex.org/I204337017,FALSE,TRUE
138,University of Leiden,Netherlands,Leiden University,https://openalex.org/I121797337,TRUE,TRUE
138,University of Oslo,Norway,University of Oslo,https://openalex.org/I184942183,FALSE,TRUE
141,Emory University,USA,Emory University,https://openalex.org/I150468666,FALSE,TRUE
142,University of Frankfurt am Main,Germany,Goethe University Frankfurt,https://openalex.org/I114090438,TRUE,TRUE
143,Korea Advanced Institute of Science and Technology,South Korea,Korea Advanced Institute of Science and Technology,https://openalex.org/I157485424,FALSE,TRUE
143,University of Birmingham,UK,University of Birmingham,https://openalex.org/I79619799,FALSE,TRUE
143,University of Sheffield,UK,University of Sheffield,https://openalex.org/I91136226,FALSE,TRUE
143,University of North Carolina at Chapel Hill,USA,University of North Carolina at Chapel Hill,https://openalex.org/I114027177,FALSE,TRUE
147,Hiroshima University,Japan,Hiroshima University,https://openalex.org/I113306721,FALSE,TRUE
147,Georgia Institute of Technology,USA,Georgia Institute of Technology,https://openalex.org/I130701444,FALSE,TRUE
149,University of Alberta,Canada,University of Alberta,https://openalex.org/I154425047,FALSE,TRUE
150,University of St.Gallen,Switzerland,University of St.Gallen,https://openalex.org/I202963720,FALSE,TRUE
150,Nanjing University,China,Nanjing University,https://openalex.org/I881766915,FALSE,TRUE
150,University of Minnesota - Twin Cities,USA,University of Minnesota,https://openalex.org/I130238516,FALSE,TRUE
150,Rice University,USA,Rice University,https://openalex.org/I74775410,FALSE,TRUE
154,University of South Australia,Australia,University of South Australia,https://openalex.org/I170239107,FALSE,TRUE
154,Technical University of Berlin,Germany,,,,FALSE
154,Technical University of Denmark,Denmark,Technical University of Denmark,https://openalex.org/I96673099,FALSE,TRUE
157,Hokkaido University,Japan,Hokkaido University,https://openalex.org/I205349734,FALSE,TRUE
157,University of Maastricht,Netherlands,Maastricht University,https://openalex.org/I34352273,TRUE,TRUE
159,University of Waterloo,Canada,University of Waterloo,https://openalex.org/I151746483,FALSE,TRUE
159,University of Bologna,Italy,University of Bologna,https://openalex.org/I9360294,FALSE,TRUE
159,University of California - Santa Barbara,USA,"University of California, Santa Barbara",https://openalex.org/I154570441,FALSE,TRUE
159,Georgetown University,USA,Georgetown University,https://openalex.org/I184565670,FALSE,TRUE
163,University of Colorado at Boulder,USA,University of Colorado Boulder,https://openalex.org/I188538660,TRUE,TRUE
164,Tufts University,USA,Tufts University,https://openalex.org/I121934306,FALSE,TRUE
165,University of Innsbruck,Austria,Universität Innsbruck,https://openalex.org/I190249584,FALSE,TRUE
166,University of Tasmania,Australia,University of Tasmania,https://openalex.org/I129801699,FALSE,TRUE
166,Chalmers University of Technology,Sweden,Chalmers University of Technology,https://openalex.org/I66862912,FALSE,TRUE
168,Newcastle University - Newcastle-upon-Tyne,UK,Newcastle University,https://openalex.org/I84884186,TRUE,TRUE
169,Shanghai Jiao Tong University,China,Shanghai Jiao Tong University,https://openalex.org/I183067930,FALSE,TRUE
169,University of Malaya,Malaysia,University of Malaya,https://openalex.org/I33849332,FALSE,TRUE
169,Novosibirsk State University,Russia,Novosibirsk State University,https://openalex.org/I188973947,FALSE,TRUE
172,Free University of Berlin,Germany,Freie Universität Berlin,https://openalex.org/I75951250,FALSE,TRUE
172,Kobe University,Japan,Kobe University,https://openalex.org/I65837984,FALSE,TRUE
172,RWTH Aachen University,Germany,RWTH Aachen University,https://openalex.org/I887968799,FALSE,TRUE
175,State University of New York at Stony Brook,USA,Stony Brook University,https://openalex.org/I59553526,TRUE,TRUE
175,University of Alabama,USA,University of Alabama,https://openalex.org/I17301866,FALSE,TRUE
177,Radboud University of Nijmegen,Netherlands,Radboud University Nijmegen,https://openalex.org/I145872427,TRUE,TRUE
178,City University of Hong Kong,Hong Kong,City University of Hong Kong,https://openalex.org/I168719708,FALSE,TRUE
179,University of Notre Dame,USA,University of Notre Dame,https://openalex.org/I107639228,FALSE,TRUE
180,Toulouse 1 University Capitole,France,,,,FALSE
